Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
Kävlinge kommun,212000-1058,Kävlinge,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kävlinge kommun,212000-1058,Kävlinge,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kavon Care AB,556861-4753,Sundbyberg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
KBTstugan i Dalarna AB,556924-9591,BORLÄNGE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
KC Familjehemsvård AB,556631-3317,Falun,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kemze Konsult AB,556808-4767,Solna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kenneth Skoglund,450212-8053,KRAMFORS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kerstin-Rehab- Handikappkonsult Aktiebolag,556498-8995,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
KFUM Norrköping,825000-1818,Norrköping,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
Kikaren Invest AB,556523-0769,Laholm,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
KIL i Helsingborg AB,556794-8780,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kilen Akut/utrednings- och
 behandlingshem AB",556620-9549,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kilsmotorp AB,556495-8725,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kiron Care AB,559040-2896,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kiron Care AB,559040-2896,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
KKP Bemanning AB,556814-4090,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Klangstainen Invest AB,556763-4687,GOTLANDS TOFTA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Klara Omsorg och Familjehem
 AB",559014-9232,Solna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klaragården Aktiebolag,556750-5457,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Klingbrogården AB,556593-0251,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
KMK Omsorg AB,556884-0101,Uppsala,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
KMK Omsorg AB,556884-0101,Uppsala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Knivsta kommun,212000-3013,Knivsta,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Knivsta kommun,212000-3013,Knivsta,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Knivsta Pastorat,252003-2059,Knivsta,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Knivsta Pastorat,252003-2059,Knivsta,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kocher Hem AB,559026-5681,SPÅNGA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kollektivet Livet AB,556839-4315,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
"Kolmårdens Personliga
 Assistans AB",556918-1455,NORRKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"KomBo Boendeträning
 Aktiebolag",556546-3642,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
"KomBo Boendeträning
 Aktiebolag",556546-3642,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Bostad med särskild service för barn och ungdomar och familjehem, LSS 9.8 p",
Kommunalförbundet sjukvård och omsorg i Norrtälje,222000-1891,Norrtälje,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kompis Assistans AB (svb),556785-4004,BORLÄNGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"KOMPIS Assistans, ekonomisk förening",769600-8338,BORLÄNGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Komplett Omsorg i Sverige AB,559251-7550,HUSKVARNA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Konsensus Personlig Assistans
 AB",556939-4652,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativ Röd Ekonomisk
 förening",769607-7721,SÖLVESBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Eko-Teck i Kramfors Ekonomisk förening,769610-8633,LUGNVIK,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kooperativet EMIL,818001-3248,ESKILSTUNA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Frej i Skövde Ekonomisk förening,769600-8692,SKÖVDE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Fria,802014-1324,Vallentuna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"kooperativet Hand i Hand
 ekonomisk förening",769600-6555,Halmstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Hjärneken,813200-5268,Täby,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Industrihuset Boende i Roslagen ek. för.,769622-5791,RIMBO,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kooperativet Industrihuset i Roslagen Ek. för.,769601-8279,RIMBO,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kooperativet Industrihuset Personlig assistans i Roslagen ek. för.,769619-6240,NORRTÄLJE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet Källan i Gonäs
 Ek. för.",769607-7697,Ludvika,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet Lila Ekonomisk
 förening",769615-7143,LUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet Odlaren
 Ekonomisk förening",769619-5119,STENSELE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet Omtanken
 Ekonomisk förening",769601-9574,TORSBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Skåre Assistans Ekonomisk förening,769615-8596,Ludvika,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet Stugknuten
 ekonomisk förening",769600-9237,BORLÄNGE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"kooperativet TETRA
 ekonomiska förening",769611-6719,SALTSJÖ-BOO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kooperativet Vilja,846005-3419,Staffanstorp,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kooperativet VillMér
 ekonomiska förening",769611-8277,HÄGERSTEN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kopparbols Behandlingshem
 AB",556569-4709,BJÖRKVIK,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kopparbols Behandlingshem AB,556569-4709,BJÖRKVIK,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kopparbols Behandlingshem AB,556569-4709,BJÖRKVIK,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kopparbrickan AB,556741-1458,RAMSELE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Korpbergets
 Behandlingscenter AB",556284-2012,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Korpbergets
 Behandlingscenter AB",556284-2012,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Korpbergets
 Behandlingscenter AB",556284-2012,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Korpbergets
 Behandlingscenter AB",556284-2012,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Korpbergets
 Behandlingscenter AB",556284-2012,LUNDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Korttidsboendet care of AB,556934-3972,SKARPNÄCK,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Kraft Familjehem i Sverige AB,556988-1062,Solna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
KraftAverk Aktiebolag,556681-8679,NORA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
K-rehab Aktiebolag,556766-2720,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
K-rehab Aktiebolag,556766-2720,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
K-rehab Aktiebolag,556766-2720,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Krica Behandling och Utbildning AB,556754-3037,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Krica Behandling och Utbildning AB,556754-3037,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Krica Behandling och
 Utbildning AB",556754-3037,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Krica Behandling och
 Utbildning AB",556754-3037,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Krica Behandling och
 Utbildning AB",556754-3037,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kronan Assistans Aktiebolag,556949-7661,Landskrona,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Kronan assistans
 handelsbolag",969757-9309,Landskrona,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kronangruppen AB,559097-2070,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kronangruppen Syd AB,559039-4093,Sollentuna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kronans Familjehem AB,559039-3079,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
KTC Assistans AB,556802-2270,HÄGERSTEN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kubbonge AB,556999-3503,Kungshamn,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kulabodan AB,556659-7414,SKÖVDE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Kullabygdens DBT
 behandlingsfamilj AB",559035-6795,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Kullabygdens DBT-hem AB,556919-6412,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kullabygdens DBT-hem AB,556919-6412,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kullabygdens DBT-hem AB,556919-6412,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Kullabygdens DBT-hem AB,556919-6412,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Kullen Assist II, ekonomisk
 förening",769620-4259,SÖDERKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kullens Gruppbostad AB,556215-9615,RINGARUM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kullens Gruppbostad AB,556215-9615,RINGARUM,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kulturcentrum Skåne,845003-0419,LUND,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
"KULTURCENTRUM VÄST,
 ekonomisk förening",769631-2474,STORA HÖGA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kungsängen i Nora AB,556714-0420,DANDERYD,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Kura Omsorg i Sverige AB,556733-7364,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Kura Omsorg i Sverige AB,556733-7364,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Biträde av kontaktperson, LSS 9.4 p",
Kura Omsorg i Sverige AB,556733-7364,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Kura Omsorg i Sverige AB,556733-7364,ÖREBRO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Kurera Assistans AB,556888-0115,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
